Sample ID,Percent missingness (%),Probability of membership  to cluster 1,Probabiltiy of membership to cluster 2,Probability of membership to cluster 3,Probability of membership to cluster 4,Assignment to cluster with highest probability of membership,Assignment to cluster for samples with over 80% membership to a cluster
PB_Y,29,0,0.953,0.035,0.012,2,2
NT_200078,3,0,0,1,0,3,3
NT_200102,27,0,0.958,0.002,0.04,2,2
NT_200150,19,0,0,1,0,3,3
2015_2016,0,0,0,1,0,3,3
NT_200079,13,0,0,1,0,3,3
NT_200119,25,0,0.368,0.049,0.583,4,NA
NT_200135,28,0,0.003,0.995,0.002,3,3
NT_200143,25,0,0.003,0.997,0,3,3
NT_200151,29,0,0.879,0.002,0.119,2,2
NT_200072_B,11,0,0,1,0,3,3
NT_200080,16,0,0.001,0.999,0,3,3
NT_200088,20,0,0.992,0,0.008,2,2
NT_200152,27,0,0,1,0,3,3
NT_200160,0,0,0,1,0,3,3
NT_200121,8,0,0,1,0,3,3
NT_200137,8,0,0,1,0,3,3
NT_200145,22,0,0,1,0,3,3
NT_200074,24,0,0.01,0.99,0,3,3
NT_200082,20,0,0,1,0,3,3
NT_200098,16,0,0.001,0.999,0,3,3
NT_200099,22,0,1,0,0,2,2
NT_200115,0,0,0,1,0,3,3
NT_200123,9,0,0,1,0,3,3
NT_200131,0,0,0,1,0,3,3
NT_200139,28,0,0.709,0.036,0.254,2,NA
NT_200163,15,0,1,0,0,2,2
NT_200116,1,0,0,1,0,3,3
NT_200124,24,0,0.002,0.998,0,3,3
NT_200132,16,0,0.011,0.989,0,3,3
NT_200174,23,0,1,0,0,2,2
NT_200182,4,0,0,1,0,3,3
NT_200198,21,0,0.391,0.575,0.034,3,NA
NT_200206,21,0,0.742,0.235,0.022,2,NA
NU_L41487,0,1,0,0,0,1,1
NU_L41497,0,1,0,0,0,1,1
NT_200167,0,0,0,1,0,3,3
NT_200215,13,0,0,1,0,3,3
NU_L41470,0,1,0,0,0,1,1
NU_L41498,0,1,0,0,0,1,1
NU_L41515,0,0.813,0.187,0,0,1,1
NT_200184,0,0,0,1,0,3,3
NT_200200,20,0,0.999,0.001,0,2,2
NT_200208,0,0,0.002,0.996,0.002,3,3
NT_200224,20,0,0.008,0.992,0,3,3
NU_L41471,0,1,0,0,0,1,1
NU_L41516,0,1,0,0,0,1,1
NT_200185,6,0,0,1,0,3,3
NT_200193,14,0,0.972,0.024,0.005,2,2
NT_200217,13,0,0.002,0.998,0,3,3
NU_L41491,11,0.391,0.609,0,0,2,NA
NU_L41500,0,1,0,0,0,1,1
NU_L41517,0,0,0.975,0,0.025,2,2
NT_200170,1,0,0,1,0,3,3
NT_200178,0,0,0,1,0,3,3
NT_200186,8,0,0.809,0.086,0.105,2,2
NT_200194,27,0,0.92,0.069,0.012,2,2
NT_200210,12,0,0.088,0.912,0,3,3
NT_200218,24,0,1,0,0,2,2
NU_L41493,0,0,1,0,0,2,2
NU_L41504,8,1,0,0,0,1,1
NT_200179,11,0,0.002,0.998,0,3,3
NT_200187,5,0,0.993,0.007,0,2,2
NT_200195,12,0,0,1,0,3,3
NT_200203,28,0,0.995,0.003,0.001,2,2
NT_200219,15,0,0,1,0,3,3
NU_L41061,27,0.02,0.979,0.001,0,2,2
NU_L41494,0,0,1,0,0,2,2
NU_L41505,0,1,0,0,0,1,1
NU_L41524,1,0,1,0,0,2,2
NT_200180,16,0,0.997,0.002,0,2,2
NT_200188,21,0,0.979,0.021,0,2,2
NT_200196,4,0,0,1,0,3,3
NT_200212,7,0,0,1,0,3,3
NT_200220,9,0,0.001,0.999,0,3,3
NU_L41453,0,1,0,0,0,1,1
NU_L41495,15,0.033,0.967,0,0,2,2
NU_L41511,0,1,0,0,0,1,1
NU_L41526,0,1,0,0,0,1,1
NT_200181,0,0,0,1,0,3,3
NT_200197,23,0,0.993,0.002,0.005,2,2
NT_200205,0,0,0.001,0.999,0,3,3
NT_200213,8,0,0,1,0,3,3
NU_L41486,0,1,0,0,0,1,1
NU_L41513,0,1,0,0,0,1,1
NU_L41530,0,1,0,0,0,1,1
NU_2_C2,10,0,0.991,0.003,0.006,2,2
NT_100737,0,0,0,1,0,3,3
NU_11_C2,20,0,0.002,0.998,0,3,3
NU_7_C3,9,0.001,0.009,0.99,0,3,3
NU_CH-016-1921_C3,4,0.998,0.002,0,0,1,1
NU_CH-024-1921_C3,7,0,0.994,0,0.006,2,2
NU_L41532,0,1,0,0,0,1,1
F-C2,22,0,0.999,0,0.001,2,2
NU_29_C2,10,0,0.998,0,0.001,2,2
G-C2,22,0,0.996,0,0.003,2,2
O_C2,21,0,0.973,0.022,0.005,2,2
NU_CH-018-1921_C3,26,0,0.963,0.01,0.028,2,2
NU_CH-026-1921_C3,9,0.001,0.988,0.011,0,2,2
NU_L41569,0,1,0,0,0,1,1
NU_22_C2,24,0,0.996,0.002,0.002,2,2
H_C2,22,0,0.999,0,0,2,2
NU_CH-019-1921_C3,3,1,0,0,0,1,1
NT_100749,0,0,0,1,0,3,3
NU_L41575,0,1,0,0,0,1,1
NU_23_C2,6,0,0.973,0.027,0,2,2
I_C2,7,0,0.054,0.94,0.006,3,3
NT_100750,0,0,0,1,0,3,3
sample_1_tagged,0,0.932,0.068,0,0,1,1
NU_8_C2,7,0,0.285,0.715,0,3,NA
NU_24_C2,3,0,0,0,1,4,4
NU_4_C3,3,1,0,0,0,1,1
NT_100751,0,0,0,1,0,3,3
NU_1_C2,11,0,0.001,0.999,0,3,3
NU_5_C3,12,0.997,0.003,0,0,1,1
NU_CH-014-1921_C3,12,0.11,0.607,0,0.283,2,NA
NT_100756,0,0,0.009,0.853,0.138,3,3
NT_100758,0,0,0,1,0,3,3
NT_100775,0,0,0,1,0,3,3
NU_CH-001-1819,3,1,0,0,0,1,1
61889,0,0,0,1,0,3,3
NT_100768,0,0,0,1,0,3,3
59107,28,0,0.958,0.041,0,2,2
59209,20,0,0.999,0,0,2,2
61890,29,0,0.998,0.001,0,2,2
CJB001,11,0,0.819,0.181,0,2,2
NT_100760,0,0,0,1,0,3,3
NT_100785,0,0,0,1,0,3,3
NU_CH-003-1819,0,1,0,0,0,1,1
59108,16,0,0.084,0.916,0,3,3
61883,4,0,0,1,0,3,3
59107_TEST,15,0,0.992,0.008,0,2,2
NT_100761,0,0,0,1,0,3,3
NT_100778,0,0,0,1,0,3,3
NU_CH-004-1819,16,0.004,0.994,0.001,0.002,2,2
59203,0,0,0,1,0,3,3
59211,6,0,0,1,0,3,3
NT_200067,28,0,0.937,0.035,0.028,2,2
NT_100762,0,0,0,1,0,3,3
NT_100779,0,0,0,1,0,3,3
59102,19,0,0.167,0.833,0,3,3
59110,0,0,1,0,0,2,2
59212,0,0,0.082,0.894,0.024,3,3
61885,0,0,0.996,0.004,0,2,2
61893,0,0,0.013,0.987,0,3,3
NT_200069,23,0,0,1,0,3,3
NT_100763,0,0,0,1,0,3,3
NT_100772,0,0,0,1,0,3,3
NT_100780,0,0,0,1,0,3,3
NT_100788,0,0,0,1,0,3,3
59213,0,0,0.008,0.992,0,3,3
61886,0,0,0.001,0.999,0,3,3
61894,0,0,0.157,0.843,0,3,3
NT_100773,0,0,0.652,0.203,0.144,2,NA
NT_100781,0,0,0,1,0,3,3
NU_CH-007-1920,0,1,0,0,0,1,1
59206,0,0,0.266,0.734,0,3,NA
61887,0,0,0.101,0.899,0,3,3
61895,0,0,0.001,0.999,0,3,3
NT_200071,1,0,0,1,0,3,3
NT_100774,0,0,0.023,0.977,0,3,3
NT_100782,0,0,0,1,0,3,3
NT_100793,0,0,0,1,0,3,3
NU_CH-008-1920,0,1,0,0,0,1,1
59105,0,0,0.003,0.997,0,3,3
61888,9,0,0.835,0.165,0,2,2
NT_3000001,27,0,0.728,0.132,0.14,2,NA
27_3,0,0,1,0,0,2,2
